timestamp,key,event_type,time_since_last_key
2025-11-02 16:01:16.713088,Key.shift,down,0
2025-11-02 16:01:16.832688,H,down,119.705
2025-11-02 16:01:16.883758,Key.shift,up,
2025-11-02 16:01:16.883939,h,up,
2025-11-02 16:01:17.168980,e,down,336.299
2025-11-02 16:01:17.345884,e,up,
2025-11-02 16:01:17.402936,l,down,233.955
2025-11-02 16:01:17.467723,l,up,
2025-11-02 16:01:17.545041,l,down,142.107
2025-11-02 16:01:17.625364,l,up,
2025-11-02 16:01:17.938064,o,down,393.022
2025-11-02 16:01:18.081917,o,up,
2025-11-02 16:01:18.126994,Key.space,down,188.891
2025-11-02 16:01:18.247958,m,down,120.996
2025-11-02 16:01:18.287496,Key.space,up,
2025-11-02 16:01:18.355185,m,up,
2025-11-02 16:01:18.366836,y,down,118.89
2025-11-02 16:01:18.439226,Key.space,down,72.348
2025-11-02 16:01:18.511171,y,up,
2025-11-02 16:01:18.527283,n,down,88.094
2025-11-02 16:01:18.602955,n,up,
2025-11-02 16:01:18.635522,Key.space,up,
2025-11-02 16:01:18.720400,a,down,193.117
2025-11-02 16:01:18.796211,m,down,75.811
2025-11-02 16:01:18.807096,a,up,
2025-11-02 16:01:18.916300,m,up,
2025-11-02 16:01:18.933860,e,down,137.653
2025-11-02 16:01:18.998128,Key.space,down,64.229
2025-11-02 16:01:19.070576,e,up,
2025-11-02 16:01:19.070803,i,down,72.721
2025-11-02 16:01:19.162305,Key.space,up,
2025-11-02 16:01:19.186199,i,up,
2025-11-02 16:01:19.216051,s,down,145.236
2025-11-02 16:01:19.308379,Key.space,down,92.295
2025-11-02 16:01:19.359823,s,up,
2025-11-02 16:01:19.432197,n,down,123.854
2025-11-02 16:01:19.475962,Key.space,up,
2025-11-02 16:01:19.520601,n,up,
2025-11-02 16:01:19.534803,a,down,102.605
2025-11-02 16:01:19.647216,a,up,
2025-11-02 16:01:19.654807,h,down,120.006
2025-11-02 16:01:19.719247,u,down,64.439
2025-11-02 16:01:19.738485,h,up,
2025-11-02 16:01:19.803565,u,up,
2025-11-02 16:01:19.917432,m,down,198.155
2025-11-02 16:01:20.053628,m,up,
2025-11-02 16:01:20.093842,Key.space,down,176.39
2025-11-02 16:01:20.258281,Key.shift,down,164.467
2025-11-02 16:01:20.269786,Key.space,up,
2025-11-02 16:01:20.402231,I,down,143.972
2025-11-02 16:01:20.514334,I,up,
2025-11-02 16:01:20.586808,Key.shift,up,
2025-11-02 16:01:20.640308,Key.space,down,238.03
2025-11-02 16:01:20.824711,Key.space,up,
2025-11-02 16:01:21.169410,a,down,529.148
2025-11-02 16:01:21.233258,m,down,63.852
2025-11-02 16:01:21.276862,a,up,
2025-11-02 16:01:21.342225,m,up,
2025-11-02 16:01:21.379451,Key.space,down,146.143
2025-11-02 16:01:21.519764,Key.space,up,
2025-11-02 16:01:21.550101,a,down,170.699
2025-11-02 16:01:21.650533,a,up,
2025-11-02 16:01:21.666875,Key.space,down,116.735
2025-11-02 16:01:21.827818,Key.space,up,
2025-11-02 16:01:21.841727,c,down,174.89
2025-11-02 16:01:21.942411,o,down,100.68
2025-11-02 16:01:21.945633,m,down,3.235
2025-11-02 16:01:21.975761,c,up,
2025-11-02 16:01:21.975849,o,up,
2025-11-02 16:01:22.062651,m,up,
2025-11-02 16:01:22.146325,p,down,200.675
2025-11-02 16:01:22.222595,p,up,
2025-11-02 16:01:22.317358,u,down,171.036
2025-11-02 16:01:22.389656,u,up,
2025-11-02 16:01:22.508259,t,down,190.898
2025-11-02 16:01:22.560800,e,down,52.549
2025-11-02 16:01:22.600382,t,up,
2025-11-02 16:01:22.631886,e,up,
2025-11-02 16:01:22.707110,r,down,146.305
2025-11-02 16:01:22.799103,Key.space,down,91.954
2025-11-02 16:01:22.822972,r,up,
2025-11-02 16:01:22.922448,s,down,123.372
2025-11-02 16:01:22.942454,Key.space,up,
2025-11-02 16:01:23.003646,s,up,
2025-11-02 16:01:23.088134,c,down,165.698
2025-11-02 16:01:23.164066,c,up,
2025-11-02 16:01:23.175707,i,down,87.58
2025-11-02 16:01:23.256033,e,down,80.323
2025-11-02 16:01:23.267504,i,up,
2025-11-02 16:01:23.347569,e,up,
2025-11-02 16:01:23.366532,n,down,110.502
2025-11-02 16:01:23.449969,c,down,83.431
2025-11-02 16:01:23.474070,n,up,
2025-11-02 16:01:23.546451,c,up,
2025-11-02 16:01:23.634945,e,down,184.976
2025-11-02 16:01:23.722782,Key.space,down,87.793
2025-11-02 16:01:23.731295,e,up,
2025-11-02 16:01:23.887579,Key.space,up,
2025-11-02 16:01:23.925920,s,down,203.182
2025-11-02 16:01:24.022331,s,up,
2025-11-02 16:01:24.167882,t,down,241.963
2025-11-02 16:01:24.221935,t,up,
2025-11-02 16:01:24.340004,u,down,172.125
2025-11-02 16:01:24.411970,d,down,71.965
2025-11-02 16:01:24.427385,u,up,
2025-11-02 16:01:24.480062,d,up,
2025-11-02 16:01:24.577991,e,down,166.023
2025-11-02 16:01:24.629982,e,up,
2025-11-02 16:01:24.633800,n,down,55.807
2025-11-02 16:01:24.738418,n,up,
2025-11-02 16:01:24.745703,t,down,111.886
2025-11-02 16:01:24.821891,Key.space,down,76.165
2025-11-02 16:01:24.893512,t,up,
2025-11-02 16:01:24.950172,Key.space,up,
2025-11-02 16:01:24.995034,i,down,173.179
2025-11-02 16:01:25.067089,i,up,
2025-11-02 16:01:25.074116,Key.space,down,79.061
2025-11-02 16:01:25.167657,Key.space,up,
2025-11-02 16:01:25.346080,Key.space,down,271.937
2025-11-02 16:01:25.474389,Key.space,up,
2025-11-02 16:01:25.506731,a,down,160.706
2025-11-02 16:01:25.599644,a,up,
2025-11-02 16:01:25.777048,Key.backspace,down,270.272
2025-11-02 16:01:25.844889,Key.backspace,up,
2025-11-02 16:01:25.918637,Key.backspace,down,141.616
2025-11-02 16:01:26.003527,Key.backspace,up,
2025-11-02 16:01:26.049713,a,down,131.093
2025-11-02 16:01:26.130359,m,down,80.643
2025-11-02 16:01:26.174402,a,up,
2025-11-02 16:01:26.230124,m,up,
2025-11-02 16:01:26.241778,Key.space,down,111.386
2025-11-02 16:01:26.358499,Key.space,up,
2025-11-02 16:01:26.572198,a,down,330.456
2025-11-02 16:01:26.667562,Key.space,down,95.353
2025-11-02 16:01:26.690784,a,up,
2025-11-02 16:01:26.783026,j,down,115.485
2025-11-02 16:01:26.815405,Key.space,up,
2025-11-02 16:01:26.880289,j,up,
2025-11-02 16:01:26.901687,u,down,118.652
2025-11-02 16:01:26.978501,n,down,76.807
2025-11-02 16:01:26.997389,u,up,
2025-11-02 16:01:27.089906,n,up,
2025-11-02 16:01:27.143155,i,down,164.657
2025-11-02 16:01:27.207669,i,up,
2025-11-02 16:01:27.282012,o,down,138.858
2025-11-02 16:01:27.398449,r,down,116.437
2025-11-02 16:01:27.413265,o,up,
2025-11-02 16:01:27.498341,Key.space,down,99.848
2025-11-02 16:01:27.541875,r,up,
2025-11-02 16:01:27.646117,Key.space,up,
2025-11-02 16:01:27.657657,i,down,159.362
2025-11-02 16:01:27.718376,n,down,60.716
2025-11-02 16:01:27.760238,i,up,
2025-11-02 16:01:27.790080,Key.space,down,71.665
2025-11-02 16:01:27.833695,n,up,
2025-11-02 16:01:27.942159,c,down,152.117
2025-11-02 16:01:27.945319,Key.space,up,
2025-11-02 16:01:28.038550,o,down,96.394
2025-11-02 16:01:28.086283,c,up,
2025-11-02 16:01:28.109994,o,up,
2025-11-02 16:01:28.212235,l,down,173.681
2025-11-02 16:01:28.284569,l,up,
2025-11-02 16:01:28.356184,l,down,143.955
2025-11-02 16:01:28.460472,l,up,
2025-11-02 16:01:28.578289,e,down,222.101
2025-11-02 16:01:28.682488,e,up,
2025-11-02 16:01:28.699547,g,down,121.26
2025-11-02 16:01:28.800463,g,up,
2025-11-02 16:01:28.865457,e,down,165.907
