timestamp,key,event_type,time_since_last_key
2025-11-02 16:05:14.115232,Key.shift,down,0
2025-11-02 16:05:14.361195,H,down,245.993
2025-11-02 16:05:14.436567,H,up,
2025-11-02 16:05:14.452778,Key.shift,up,
2025-11-02 16:05:14.789866,e,down,428.677
2025-11-02 16:05:14.846398,e,up,
2025-11-02 16:05:15.189049,l,down,399.182
2025-11-02 16:05:15.261070,l,up,
2025-11-02 16:05:15.365405,l,down,176.362
2025-11-02 16:05:15.442501,l,up,
2025-11-02 16:05:15.693581,o,down,328.168
2025-11-02 16:05:15.791208,o,up,
2025-11-02 16:05:16.160066,Key.space,down,466.43
2025-11-02 16:05:16.247750,Key.space,up,
2025-11-02 16:05:16.455518,m,down,295.509
2025-11-02 16:05:16.580465,m,up,
2025-11-02 16:05:16.656427,y,down,200.915
2025-11-02 16:05:16.753607,y,up,
2025-11-02 16:05:16.886814,Key.space,down,230.358
2025-11-02 16:05:16.968304,Key.space,up,
2025-11-02 16:05:17.124433,n,down,237.648
2025-11-02 16:05:17.237296,n,up,
2025-11-02 16:05:17.260334,a,down,135.902
2025-11-02 16:05:17.329274,a,up,
2025-11-02 16:05:17.426458,m,down,166.124
2025-11-02 16:05:17.531040,m,up,
2025-11-02 16:05:17.566326,e,down,139.867
2025-11-02 16:05:17.666966,Key.space,down,100.572
2025-11-02 16:05:17.710525,e,up,
2025-11-02 16:05:17.726619,Key.space,up,
2025-11-02 16:05:17.935344,i,down,268.447
2025-11-02 16:05:18.032399,i,up,
2025-11-02 16:05:18.089259,s,down,153.913
2025-11-02 16:05:18.218475,s,up,
2025-11-02 16:05:18.299326,Key.space,down,210.035
2025-11-02 16:05:18.392363,Key.space,up,
2025-11-02 16:05:18.514297,Key.shift,down,214.983
2025-11-02 16:05:18.850836,E,down,336.558
2025-11-02 16:05:18.934994,E,up,
2025-11-02 16:05:18.966793,Key.shift,up,
2025-11-02 16:05:19.086260,m,down,235.426
2025-11-02 16:05:19.167441,m,up,
2025-11-02 16:05:19.280378,i,down,194.117
2025-11-02 16:05:19.361347,i,up,
2025-11-02 16:05:19.493342,l,down,212.966
2025-11-02 16:05:19.594244,l,up,
2025-11-02 16:05:19.715207,y,down,221.865
2025-11-02 16:05:19.774528,y,up,
2025-11-02 16:05:19.871623,Key.space,down,156.373
2025-11-02 16:05:19.976213,Key.space,up,
2025-11-02 16:05:20.494523,a,down,622.945
2025-11-02 16:05:20.570986,n,down,76.454
2025-11-02 16:05:20.599092,a,up,
2025-11-02 16:05:20.655066,n,up,
2025-11-02 16:05:20.716405,d,down,145.426
2025-11-02 16:05:20.821278,d,up,
2025-11-02 16:05:20.839000,Key.space,down,122.568
2025-11-02 16:05:20.920236,Key.space,up,
2025-11-02 16:05:20.975511,Key.shift,down,136.518
2025-11-02 16:05:21.111357,I,down,135.87
2025-11-02 16:05:21.155307,Key.shift,up,
2025-11-02 16:05:21.195417,i,up,
2025-11-02 16:05:21.308334,Key.space,down,196.939
2025-11-02 16:05:21.389958,Key.space,up,
2025-11-02 16:05:21.476427,l,down,168.127
2025-11-02 16:05:21.545300,l,up,
2025-11-02 16:05:21.701781,i,down,225.351
2025-11-02 16:05:21.757713,i,up,
2025-11-02 16:05:21.901456,k,down,199.674
2025-11-02 16:05:21.974324,k,up,
2025-11-02 16:05:22.016282,e,down,114.825
2025-11-02 16:05:22.080578,Key.space,down,64.267
2025-11-02 16:05:22.120634,e,up,
2025-11-02 16:05:22.144360,Key.space,up,
2025-11-02 16:05:22.301293,p,down,220.749
2025-11-02 16:05:22.410314,p,up,
2025-11-02 16:05:22.660974,o,down,359.68
2025-11-02 16:05:22.741358,o,up,
2025-11-02 16:05:22.878907,u,down,217.934
2025-11-02 16:05:22.959306,u,up,
2025-11-02 16:05:23.094406,n,down,215.497
2025-11-02 16:05:23.171037,n,up,
2025-11-02 16:05:23.225220,d,down,130.813
2025-11-02 16:05:23.318199,d,up,
2025-11-02 16:05:23.893035,c,down,667.813
2025-11-02 16:05:23.965238,c,up,
2025-11-02 16:05:24.127683,a,down,234.651
2025-11-02 16:05:24.176646,a,up,
2025-11-02 16:05:24.249025,k,down,121.351
